Title,Platform,Genres,Release_date,Publisher Name,Age Rating,Metascore,Description
Pumped BMX +,"Wii U, PlayStation 4, PlayStation 3, PS Vita, Xbox One, PC","Sports, Racing, Indie","Sep 18, 2015",Curve Digital, Not rated,82,
The Shrouded Isle,"Nintendo Switch, macOS, PC","Simulation, Indie","Aug 4, 2017",Kitfox Games, Not rated,89,
Total War: ATTILA,"PC, Linux, macOS",Strategy,"Feb 17, 2015",SEGA, Not rated,80,"Against a darkening background of famine, disease and war, a new power is rising in the great steppes of the East. With a million horsemen at his back, the ultimate warrior king approaches, and his sights are set on Rome…
The next instalment in the multi award-winning PC series that combines turn-based strategy with real-time tactics, Total War: ATTILA casts players back to 395 AD. A time of apocalyptic turmoil at the very dawn of the Dark Ages.
How far will you go to survive? Will you sweep oppression from the world and carve out a barbarian or Eastern kingdom of your own? Or will you brace against the coming storm as the last remnants of the Roman Empire, in the ultimate survival-strategy challenge?
The Scourge of God is coming. Your world will burn.
Apocalyptic destruction mechanics
Wield the ferocious power of fire in battle to set buildings ablaze and terrify defenders, or wipe entire cities and regions from the face of the campaign map with the new raze mechanic.
Legendary start position
Playing as the Western Roman Empire you will begin with vast territories under your control, but weakened by political in-fighting and threatened on all sides by enemies, your dominance will quickly become a struggle to survive.
Overhauled game mechanics
Improved core gameplay and UI through the latest optimised and modified Total War game mechanics, including politics, family tree, civic management and technological progression.
Incredible period detail
With new period-specific technologies, arms and armaments, religion, cultures and social upheaval, Total War: ATTILA delivers an authentic experience of this ominous chapter of our history.
Outstanding visual fidelity
Improvements and optimisations to both campaign and battle visuals create a chilling vision of a looming apocalypse and the ruin of the civilized world. With breath-taking scale, atmosphere and improved graphical performance, witness the end of days and the rise of a legend."
TSIOQUE,"PC, macOS","Adventure, Casual, Indie","Nov 6, 2018",OhNoo Studio, Not rated,77,"Tsioque (pronounced /tsɪɒk/) is an animated adventure game inspired by classic 80s and 90s point and click titles. Craftily mixing influences of games like Day of the Tentacle, Dragon's Lair or Humongous Games' Pajama Sam, it offers its own, original narrative experience, which can be described as both dark and adorable.
We take the role of a young princess Tsioque, imprisoned in a castle ruled by the Evil Wizard. At first glance, with her blond hair and big blue eyes, she may seem like your typical princess, but she's anything but typical. She doesn't wait for Prince Charming to rescue her - she rescues herself, using her wits, stubbornness, and an unusual talent for bringing unintended chaos and destruction wherever she goes.
Humor? Check. Darkness? Check. Suspense? Check! What more could you ask for?
LOTS of 2D animation – all characters and items are hand-animated, frame-by-frame, old-school-style.
Beautiful, hand-drawn backgrounds.
Fully voiced dialogue tracks.
A living, breathing environment, full of hidden interactions.
Exceptional soundtrack by Edward Harrison (NEOTOKYO, LUCKY DAY FOREVER) and Elle Kharitou, dynamically illustrating the gameplay and adjusted to your every action.
Non-episodic storytelling – you will find no ""Find out what happens next, pay more money!"" cliffhangers here."
Eliza,"Nintendo Switch, PC, macOS, Linux","Action, Indie","Aug 11, 2019",Zachtronics,17+ Mature,84,"Eliza is a visual novel about an AI counseling program, the people who develop it, and the people who use it. Follow Evelyn Ishino-Aubrey as she reconnects with people from her past, gets to know the people of Seattle who use Eliza for counseling, and decides the course of her future.
After abandoning her high-powered tech career and a mysterious three-year absence, Evelyn Ishino-Aubrey resurfaces working as a proxy for a virtual counseling app called Eliza. Her job consists solely of reading a script provided to her in real-time by an AI, leaving her no autonomy over what she says. Is Eliza a technological marvel that brings therapy to those who otherwise couldn’t access it? Or is it an ineffective replacement and another vector for technology companies to gain control over our lives and humanity?
As she reconnects with people from her past and gets to know the ordinary people of Seattle who use Eliza for counseling, Evelyn finds herself caught in the middle between differing sides of the argument— and as she begins to question everything about her past life and future purpose in the world, it becomes clear she must confront the turmoil and darkness inside.
A thought-provoking story told in the form of a visual novel from an award-winning indie team.
Follow Evelyn’s journey through a present-day Seattle brought to life with beautiful hand-painted art.
Get to know Eliza’s clients and the employees of Skandha, the technology giant behind it, with over a dozen fully-voiced characters and powerful performances from a highly regarded cast.
An evocative, ambient original score by the composer for Infinifactory, SHENZHEN I/O, Opus Magnum, and EXAPUNKS.
Is AI-driven counseling better than nothing? Is it worse than nothing? What responsibilities come with technical skills? Consider your own answers to these questions and more.
Counseling sessions getting a little too real? Relax with Kabufuda Solitaire, a new take on solitaire using Japanese kabufuda cards."
ACE - Arena: Cyber Evolution,PC,"Action, Strategy, Sports, Indie","Aug 18, 2014",Spearhead Games, Not rated,81,Arena: Cyber Evolution (ACE) is a futuristic physics-based sports game in which players confront each other in 3 vs 3 matches of wits and twitch reflexes. 
Gamedec,PC,"Adventure, RPG, Indie","Sep 16, 2021",Anshar Studios, Not rated,84,"You will hunt down the criminals of virtual worlds. Rich, spoiled businesspeople, mothers who want a better life for their children, or corporations with plans to rewrite humanity. Are they acting alone, or are they mere puppets? What does a ""happy ending"" mean to you or to them? Each decision you make shapes the game world and your character’s personality.
Some decisions will feel right, and others will be unexpected. The game continually adapts to your choices and never judges – only you can judge yourself."
Bloodstained: Curse of the Moon,"PC, Nintendo Switch, PlayStation 4, Xbox One, Nintendo 3DS",Action,"May 24, 2018",Inti Creates,10+ Everyone 10+,78,"Battle with swords and whips in this retro-style action game brought to you by game creator Koji Igarashi and Inti Creates!
Play as Zangetsu, a demon slayer bearing a deep grudge, who must travel through perilous lands to defeat a powerful demon lurking in a dark castle. Zangetsu will meet fellow travelers along the way, who can join your journey as playable characters.
Switching to these characters with their unique abilities will unlock new paths through the treacherous stages. Your choices in recruiting these adventurers will change the difficulty of the game, and may even affect the ending!
*Bloodstained: Curse of the Moon is the 8-bit style game promised as a stretch goal of the 2015 Kickstarter campaign for ""Bloodstained: Ritual of the Night."""
HeXen II,PC,"Action, Shooter","Aug 31, 1997",Activision Blizzard, Not rated,92,"The Four Horsemen of the Apocalypse lurk in the shadows before you. They are Death, Pestilence, Famine, and War. They are the root of all that is evil. They are the least of your worries. The last know Serpent Rider, Eidolon, lives. As the Necromancer, the Assassin, the Crusader, or the Paladin, you must defeat the dark generals and their Hell-spawned legions before you can face the Archfiend and attempt to end his ravenous onslaught. Go in peace and you will surely die.
Experience the Quake Engine's true, polygon-based modeling for the most realistic, detailed environments ever seen in 3D gaming.
Possess distinct spells, powers and 32 new weapons. With experience, gain levels, more hit points and certain abilities that apply to your specific character class, such as increased speed, firepower, and jump distance.
Bludgeon your way through four demon-infested worlds - Medieval, Egyptian, Mesoamerican and Roman. Smash stained glass windows, collapse structural beams, and pulverize trees.
Come face-to-face with Knight Archers, Fire Imps, Were-Jaguars, Skull Wizards and more. Go in with friends, or go against foes in a bloody Deathmatch. Up to 16 players can go at it via LAN and over the Internet."
Holy Potatoes! A Weapon Shop?!,"Nintendo Switch, PlayStation 4, PC, macOS, Linux, Android, iOS","Action, RPG, Simulation, Indie","Jul 12, 2015",Daedalic Entertainment, Not rated,,
SpellForce 2: Faith in Destiny,PC,"RPG, Strategy","Jun 19, 2011",THQ Nordic, Not rated,97,
BeamNG.drive,"PC, iOS","Simulation, Racing","May 29, 2015",SureHit Studio,10+ Everyone 10+,79,
Blue Fire,"Nintendo Switch, PlayStation 4, Xbox One, PC","Action, Adventure, Indie, Platformer","Feb 3, 2021",Graffiti Games, Not rated,75,"A Dark World Awaits – Travel through the perished world of Penumbra to explore unique areas filled with diverse enemies, sharp 3D platforming challenges, quests, collectibles, and more.
Embark on an extraordinary journey through the desolated kingdom of Penumbra and discover the hidden secrets of this long-forgotten land. Explore mystical temples, encounter survivors and take on strange quests to collect valuable items. Along your adventure, slash your way through daunting adversaries, roam across mysterious and abandoned regions, leap through deadly traps and ultimately master the art of movement."
Still There,"macOS, PC","Adventure, Indie","Nov 19, 2019",Iceberg Interactive, Not rated,,"Job Opportunity: Brane CO is looking for a dedicated keeper of the Bento Space Lighthouse, located in the mostly uncharted sector D42-W81.
Activities include but are not limited to:Operational checks
General maintenance, fixing eventual malfunctions
Periodical radio beacon transmissions
Collection of data from outer space
Looking after the station's tuatara
Radio/navigational assistance to nearby spaceships
Experimental drug trials (it's all good, trust us)
General requirements:
Good dexterity in order to use the necessary tools and operate the equipment
Willingness to live in isolation for very long periods
Ability to work under pressure
Some degree of patience mandatory to deal with the ship's advanced AI (Gorky is obnoxious and a loudmouth but he means well)
Candidates without children/spouses preferred
Appointment type: One year, renewable every year
Work schedule: Full-time
Location: Deep space, sector D42-W81
Salary: Yes
NO TELEWORK"
Rune,PC,"Action, Adventure, RPG","Nov 18, 2000",Take Two Interactive, Not rated,76,"It was foretold that during Ragnarok, the gods would fall and the nine realms would be consumed by frost and fire… but it is not what happened. The gods did not perish. Instead, for seven terrible years, giants, beasts, and the undead have ravaged the realms while the gods inexplicably withheld their protection. Immersed in darkness and chaos, mankind’s own world of Midgard lies captive in the cruel grasp of maniacal Loki.
As a hardened Viking warrior, Rune players will align with their chosen god as they pillage villages for powerful weapons and armor, complete quests for their deity and receive blessings of strength and magic. Your quest is simple – destroy Loki, but you needn’t do it alone. Team up with your Viking allies to gain the benefits of shared experience and the strength that only comes in numbers.
Time is against you. Loki will reset Ragnarok keeping Midgard in an endless apocalypse. Rise, Warrior! Save yourself and all of mankind from the Norse apocalypse.KEY FEATURES
Explore Vast and Dangerous Lands
Once-beautiful Midgard lies in ruins, disfigured and drowned. Braving destruction and death, stalk your ravaged world in search of Loki’s minions…and the Trickster himself. Where Ragnarok has warped the land most, there you may find the most powerful weapons and resources..
Go Alone or Team Up With Friends
Brave the end of days alone or invite fellow warriors to accompany you through Ragnarok. Together, sail a fleet of longships to overrun enemy fortresses, battle side by side against giants and enormous monsters, and stand as one to face Loki himself. Add to the madness of Ragnarok in brutal PvP battles to see who may be the most feared Viking in Midgard.
Choose Your God
Align with a Norse god to receive unique abilities and skills to aid you on your quests. Do you align with Thor, who grants you strength? Or with Hel, who gives you power over the dead? Or perhaps the Allfather himself, Odin, who will grant you additional protection from the dangerous world? Choose wisely.
The End of Days
Ragnarok has plagued the land of Midgard for far too long. Its end is coming but Loki’s twisted plan is to reset it back to the beginning of the end of days. You and your clan must do whatever it takes to destroy the Trickster god and save Midgard from a perpetual Ragnarok.
Collect Powerful Equipment and Harness Rune Powers
Complete quests for your god through mystical runes and harness their powers to improve your combat abilities. Pillage villages and take down powerful enemies to gain weapons and armor as you transform yourself into a warrior capable of taking down a god.
Prove Yourself
As the legends foretold, your dying realm is being torn further apart by war. Huge monsters, giants, feral beasts, living warriors, and the dishonored dead alike, all tear at one another for dominance over what is left of Midgard. Warrior, can you rise above the fray? Can you prove yourself mightiest of all by slaying Loki?"
Spartacus Legends,"PlayStation 3, Xbox 360","Arcade, Fighting","Jun 25, 2013",Ubisoft Entertainment,17+ Mature,80,Spartacus Legends is a video game adaptation of the Starz historical action TV series Spartacus. It was released as a free-to-play and discontinued since 2015.
In Other Waters,"macOS, Nintendo Switch, PC","Adventure, Indie","Apr 2, 2020",Fellow Traveller,10+ Everyone 10+,81,"An alien ocean, rich with impossible life.
A lone xenobiologist, adrift in a world of secrets.
An AI, waking from a dreamless sleep, ready to guide humanity to a terrible truth.
In Other Waters is a unique exploration game, where you must aid xenobiologist Ellery Vas in diving and studying the depths of a distant alien ocean.
FEATURES
Explore an Alien Ocean
Casting you as an Operator AI In Other Waters is structured around an ever-growing, tactile interface. Through this unique mode of interaction you will chart underwater courses, scan environments for vital clues, and navigate this unearthly ocean.
Study New Life
Rather than play as a sci-fi soldier or planetary colonist, In Other Waters gives you the chance to engage with its world through xenobiology. You will assist Ellery in tracking, sampling and studying the planet’s life to understand how to navigate its ocean.
Uncover Terrible Secrets
As you dive deeper into the ocean of Gliese 677Cc, the bond between you and Ellery will be tested by what you discover. The choices you make, and the way you react to Ellery will change the course of the expedition.
PRESS QUOTES
""In Other Waters gets weirder and more interesting the closer you look.""
PC Gamer
""It looks simple (and ever so stylish) yet underneath there's oodles of narrative depth.""
Eurogamer
""Its Metroid-likeness doesn’t come from finding coloured keys or whatnot, but from studying the world and its ecosystems.""
Rock Paper Shotgun
""It’s smart, and capable, and, yes, that instrument-twiddling captures a bit of the spirit of playing with toy instrument panels and fake science tools as a child.""
Paste Games"
Foul Play,"PS Vita, PlayStation 4, Xbox 360, Linux, PC, macOS","Action, Adventure, Casual, Indie","Sep 18, 2013",Devolver Digital, Not rated,78,
Rebel Cops,"macOS, PC, iOS, Xbox One, Nintendo Switch, PlayStation 4","RPG, Strategy","Sep 17, 2019",THQ Nordic, Not rated,81,"Rebel Cops is a spin-off game from This Is the Police, which exclusively features the series' turn-based tactical operations. Lead a rag-tag squad of cops in rebellion against their town's new criminal power, and see how long you can hold out when you're constantly short on supplies, and a single shot can cost a cop his life.
You’re not exactly the police, but you're the only ones on the side of justiceViktor Zuev, a sadistic crime boss new on the scene, has quickly taken the town of Ripton by the throat. The community's leaders and even the local police have surrendered to his will. A master of intimidation and blackmail, Zuev has seized every major business in town, all of which he now controls as his own private fiefdom. But an outlaw band of renegade cops refuse to bow. With little hope of success, they fight on -- for justice, and the soul of their town."
Ninja Gaiden II,"Xbox One, Nintendo Switch, Xbox 360","Action, Adventure","Jun 3, 2008",Tecmo,17+ Mature,92,"(Online Interactions Not Rated by the ESRB) The Games on Demand version supports English, French, Italian, German, Spanish, Japanese, Korean, Chinese. This long-awaited sequel to the best-selling Xbox action game pits legendary ninja Ryu Hayabusa against hordes of malicious enemies as he sets out on a journey that will determine the fate of the human race. With an assortment of new weapons, moves, enemies, and locations, Ninja Gaiden II redefines the action game genre, providing a visceral, thrilling experience that just can't be found anywhere else."
Darksburg,PC,"Action, Indie","Sep 23, 2020",Shiro Unlimited, Not rated,86,Darksburg is a cooperative roguelite action game where you must team up to escape the hordes of Infected that have decided to settle down in the quaint little town of Darksburg.
Pinstripe,"macOS, Xbox One, PlayStation 4, Nintendo Switch, PC, Linux, iOS","Adventure, Casual, Indie, Puzzle, Platformer","Apr 24, 2017",Serenity Forge,13+ Teen,91,"Pinstripe is an emotionally charged adventure through Hell created entirely by a one-man team over the course of five years. Play as Teddy, an estranged ex-minister forced to venture through the frozen afterlife in search of his three-year-old daughter Bo, and her perverse kidnapper. Discover the dark secrets of Teddy's past, and confront his sleazy, demonic nemesis, Mr. Pinstripe.
Thomas Brush, creator of award winning indie games Coma and Skinny, reveals a gorgeous art style, breathtaking score, and chilling story with influences from The Nightmare Before Christmas, Coraline, and Alice in Wonderland.
Explore six hauntingly beautiful levels of Hell.
Listen to an immersive and unique soundtrack written by the game's creator.
Use your slingshot to fight your way through bizarre beasts and interesting puzzles.
Hang out with your family pet George and sniff out clues.
Discover the mystery behind Teddy and Bo's death.
Features a hilarious cast of professional voice actors and celebrity cameo performances!"
Dying Light: Bad Blood,"Xbox One, PlayStation 4, PC","Action, Shooter, RPG","Sep 13, 2018",Techland Publishing,17+ Mature,83,"Get competitive and get the blood on your hands in the all-new brutal royale experience.
Enter a zombie-infested area and compete as one of 12 players to become the only survivor. Scavenge for weapons, destroy zombie hives to level up, and combine your advanced parkour mobility with brutal combat skills to outrun, outsmart, and outplay your opponents.
It’s all in, one out in Dying Light: Bad Blood - a fast-paced and gory online game that creatively blends PvP and PvE combat while retaining the core of Dying Light’s iconic gameplay.
Kill the zombies and destroy their hives to collect blood samples and level up your character. Prey on other players, steal their loot, and become the only one to leave the zone alive.
Whether you run for your life, chase another player or race to the evac chopper, it’s your parkour skills that give you an edge over the enemies
Immerse yourself in the blood-soaked FPP combat known from the highly-acclaimed Dying Light, now with greater tactical depth, new moves, and tons of vicious weapons."
Perfect Dark Zero,Xbox 360,"Action, Shooter","Jun 1, 2010",Microsoft Studios,17+ Mature,81,"Perfect Dark Zero takes place when a secret war begun between shadowy corporations bent on world domination. Joanna Dark and her father, Jack, are caught up in the fight for the planet's future. A routine bounty hunting missions opens a global conspiracy that cahnges Joanna's destiny forever. Guide Joanna Dark on her journey to become the Perfect Agent. Perfect Dark Zero features a compelling and captivating story pluging players into a world of corporate espionage and conspiracy. Perfect Dark Zero merges the excitement and intrigue of its predecessor with recolutionary game design, online play and amazing graphics to deliver an experience that defines next-generation gaming and entertainment. Multitude of Weapons, Gadgets and Vehicles - Perfect Dark Zero features many of the classic weapons and gadgets from the original games as well as other additions. Combat-enabled vehicles include jetpacks, hovercrafts and motorcycles."
Out of Space,"PC, macOS, Linux","Strategy, Indie","Feb 26, 2020",Behold Studios, Not rated,86,"Out of Space is a cooperative multiplayer game about trying to live together in space.
To live with your folks, or your boyfriend or your best friends is not an easy task. Who is going to take the trash out, do the dishes, or even walk with the dog? Oh... our mundanes things that makes us humans!
-- But in outer space, it is not just a matter of making your home feel cozy, but actually, avoid getting killed in the process. :o
MORE INFO THROUGHOUT 2019!"
The Elder Scrolls V: Skyrim VR,"PlayStation 4, PC",RPG,"Dec 31, 2017",Bethesda Softworks,17+ Mature,79,"A true, full-length open-world game for VR has arrived from award-winning developers, Bethesda Game Studios. Skyrim VR reimagines the complete epic fantasy masterpiece with an unparalleled sense of scale, depth, and immersion. From battling ancient dragons to exploring rugged mountains and more, Skyrim VR brings to life a complete open world for you to experience any way you choose. Skyrim VR includes the critically-acclaimed core game and official add-ons – Dawnguard, Hearthfire, and Dragonborn.
Dragons, long lost to the passages of the Elder Scrolls, have returned to Tamriel and the future of the Empire hangs in the balance. As Dragonborn, the prophesied hero born with the power of The Voice, you are the only one who can stand amongst them."
Goose Goose Duck,"PC, macOS, iOS","Action, Strategy, Casual, Indie","Apr 30, 2021",Gaggle Studios,13+ Teen,,
Godot Engine,"Linux, macOS, PC",Action,"Feb 23, 2016",Godot Engine, Not rated,,"<h3>2D and 3D cross-platform game engine</h3><br/>Godot Engine is a feature-packed, cross-platform game engine to <strong>create 2D and 3D games</strong> from a unified interface. It provides a comprehensive set of common tools, so that you can focus on making games without having to reinvent the wheel. Games can be exported in one click to a number of platforms, including the major desktop platforms (Linux, macOS, Windows) as well as mobile (Android, iOS), web-based (HTML5) platforms and consoles (Switch, PS4 and Xbox One - via thirdparty publishers).<h3>Free, open source and community-driven</h3><br/>Godot is completely free and open source under the very permissive MIT license. No strings attached, no royalties, nothing. <strong>Your game is yours</strong> down to the last line of engine code. Godot's development is fully independent and community-driven, empowering you to help shape the engine to match your expectations. It is supported by the Software Freedom Conservancy not-for-profit."
Tom Clancy's Ghost Recon Advanced Warfighter 2,"PlayStation 3, PC, PSP, Xbox One, Xbox 360","Action, Shooter, Strategy","Mar 6, 2007",Ubisoft Entertainment,13+ Teen,82,"It’s 2014, and the soldiers of the future return to encounter a new threat along the recently completed wall on the U.S./Mexico border. The Ghosts are more powerful with an upgraded Integrated Warfighter System but have only 72 hours to assess the threat and stop the rebels. With a border that’s 1,900 miles long and an enemy that doesn’t play by the rules, this is a job for the U.S. military’s most elite fighting unit, a job for the Ghosts.
• All-new battlegrounds- Defend U.S. soil from cross-border attacks.
• Deploy future technology- Command lethal air strikes with jet fighters and more!
• The revolutionary new Cross-Com 2.0 will allow players unprecedented precision in developing and issuing tactical plans on the battlefield.
• Dynamic lighting and shadows- Optimize your assault around real-time day/night cycles and changing weather.
• Online multiplayer action!
Download, play and own the full game today!
Software subject to license (us.playstation.com/softwarelicense). Online activity subject to Terms of Services and User Agreement (www.playstationnetwork.com/terms-of-service)."
Dyson Sphere Program,PC,"Strategy, Simulation, Indie","Jan 20, 2021",Gamera Game, Not rated,,"Dyson Sphere Program is a sci-fi simulation game with space, adventure, exploration and factory automation elements where you can build your own galactic industrial empire from scratch."
ELDERBORN,PC,"Action, Indie","Jan 29, 2020",Hyperstrange, Not rated,79,
PLANET ALPHA,"Xbox One, Nintendo Switch, PlayStation 4, PC","Action, Adventure, Indie, Platformer","Sep 3, 2018",Team17 Digital,10+ Everyone 10+,84,
Mario + Rabbids Kingdom Battle,Nintendo Switch,"Adventure, Strategy","Aug 29, 2017",Ubisoft Entertainment,10+ Everyone 10+,85,"The Mushroom Kingdom has been torn apart by a mysterious vortex,
transporting the chaotic Rabbids into this once-peaceful land. To
restore order, Mario, Luigi, Princess Peach, and Yoshi must team up with
a whole new crew: four Rabbids heroes! Together, they will battle with
weapons through four worlds filled with combat, puzzles, and
unpredictable enemies."
MO:Astray,"Nintendo Switch, iOS, PC","Action, Adventure, Indie, Puzzle","Nov 12, 2020",Rayark International, Not rated,82,"Game CharacteristicsNever before seen movements and abilities including sticking, ramming, parasitic takeover and even memory recall are used to further open up the story!
With a meticulous pixelated style and super-smooth movements, the game is set in a full-on otherworldly, science fiction atmosphere with stunning, life-like sound effects and music.
On the verge of death, players will need to use their minds to the fullest to find a way out. Wait, observe, plan out your path, and use your special abilities wisely.
Don't think you can easily bully this jelly-like organism! In this sinister environment, using him to the fullest will be your greatest advantage.
Collect key materials to unlock more storylines and piece together what is really going on...
Stick: Utilize the character's special trait to clear all the tricky traps
Skill: Use your enemies to dodge attacks
Challenge: Exciting Boss battles
Jump: Feel the sense of speed as you dash through the air
Change: A control experience that changes according to the levelBackground StoryThrough the moist, pitch-black darkness the eerie sounds of giant machinery can be heard. In an advanced facility that has been invaded by otherworldly beasts and local inhabitants, the fully-automatic system controlled by the main computer is still operating like a mad man. Awakening inside an abandoned laboratory, the green, ambiguous lifeform MO discovers that it not only has to face an extremely hostile and sinister environment, but it also must face humans who, having been taken over by alien parasitic plants, are now stuck in the endless limbo between death and rebirth. What's more, there seems to be an eerie presence that's watching all of this from the shadows. After groping around for clues, MO gradually becomes aware that it is responsible for a mission of immense importance. Under the guidance of the mysterious mutterings in its ear, MO is able to overcome one obstacle after another.
Who caused this disaster? And on this path that leads to answers for every unsolved riddle, what sorts of trials and tribulations lie ahead?"
Halcyon 6: Starbase Commander,"PC, Nintendo Switch, iOS, Linux, macOS","RPG, Strategy, Simulation, Indie","Sep 8, 2016",GHI Media,13+ Teen,75,
CastleStorm,"Wii U, PlayStation 3, PS Vita, Xbox 360, Nintendo Switch, PC","Action, Strategy, Indie","May 29, 2013",Microsoft Studios,13+ Teen,81,
Vampire: The Masquerade - Shadows of New York,"PlayStation 4, Nintendo Switch, Xbox One, PC, macOS, Linux","Adventure, Indie","Sep 10, 2020",Draw Distance, Not rated,83,"You’re a nobody. An outcast in your own vampiric sect. A political prisoner of no particular value. An immigrant who never found her roots in a city of immigrants. A chainsmoker whose favorite pastime is staring blankly at the streets through the windows of a fast food joint at 4AM. The sinking feeling in the pit of your stomach tells you that you’re doomed, and distorted voices from the shadows seem to agree. The curse of your clan makes interacting with everyday technology difficult. Dissociation is your natural state."
Tempest,"PC, macOS, Xbox 360, PlayStation 4","Action, RPG, Indie","Aug 22, 2016",HeroCraft, Not rated,89,"Level up your pirates, let them grow from sailor boys to skilled old salts!
Hey Captain! Now that you’ve got the Jolly Roger fluttering in the wind over your ship, you’re ready to rove the seas, take on merchant ships loaded with booty and storm formidable fortresses. Set sail and get your hands on all those legendary treasures that are just waiting for the picking!
When we created Tempest, we focused on the most thrilling part of pirate life – sea battles.
As you navigate the dangerous waters of the game you won’t just catch up with merchants, but you will encounter fellow pirates, creepy followers of a mysterious cult and terrible mythical monsters: Kraken, Leviathan and other infamous creatures.
Your ship – the pride and joy of any freebooter – can be customized in many ways. You are free to change almost everything – from the color of your flag and sails to the ship’s hull and figurehead.
Of course, there are plenty of weapons to choose from for every battle, including cannons, mortars, flame throwers and so on. Also there are special tools ready to help you to rig the ship for any purpose. However, you can win the most valuable artifacts only by finishing the multilevel quests called “legends”.
Good hunting."
Thirty Flights of Loving,"PC, macOS","Adventure, Casual, Indie","Aug 20, 2012",Blendo Games, Not rated,88,
John Wick Hex,"Nintendo Switch, PlayStation 4, Xbox One, PC, macOS","Action, Strategy","Oct 8, 2019",Good Shepherd Entertainment,17+ Mature,79,"John Wick Hex is the first John Wick PC/console game inspired by Lionsgate’s hit action franchise. From acclaimed Game Director, Mike Bithell (Volume, Thomas Was Alone, Subsurface Circular), John Wick Hex is a fast-paced, action-oriented strategy game that makes you think and strike like the professional hitman."
My L'manburg [Dream SMP fangame],PC,,"Oct 24, 2020",, Not rated,,"In this fan-game you will play as TommyInnit, a teenager that got in a very real Minecraft War, got betrayed, saw his friends die, and watches how one of his closest friends slowly loses his mind. Yet, somehow, Tommy manages to keep his sanity.Would you like to change the story? Or do you want to help Tommy convice Wilbur that there's a lot of other ways besdie blowing up Manburg?Or...Maybe, you want to betray everyone?After all, everyone who's claiming to be on our side... They're just lying to us, so why can't you do the same?---The game is a work in progress!Please let me know if there's any bugs, crashes, etc. so I can see what can I do with it.I hope you enjoy the game, and if you do, please leave a comment and follow me so you'll know about future updates!"
Chip,PC,"Action, Strategy, Indie","Apr 25, 2014",Coatsink, Not rated,84,
Heaven Island - VR MMO,"PC, macOS, Linux","Adventure, Massively Multiplayer, Indie","Dec 23, 2015",Chubby Pixel, Not rated,,Heaven Island - VR MMO is an indie virtual reality massively multiplayer online game developed by Fabio Ferrara and Giulia Airoldi.
Small World 2,"Android, PC, macOS, Linux, iOS","Strategy, Board Games, Casual, Indie","Apr 1, 2010",Asmodee Digital,10+ Everyone 10+,,"Based on the phenomenally successful Small World fantasy board game with over 500,000 copies sold! Take control of insanely fun fantasy race & special power combos, such as Berserk Halflings, Triton Merchants, Alchemist Ratmen and Dragon-master Amazons, to grab all the land you can in a world that is just too small to share with your opponents!"
River City Girls,"PC, Nintendo Switch, PlayStation 4, Xbox One",Action,"Sep 4, 2019",Arc System Works,10+ Everyone 10+,76,"There's trouble once again on the mean streets of River City, but this time the boys are in over their heads! In this all-new entry in the legendary beat-'em-up series, hot-blooded heroes Kuni and Riki have been captured, leaving it to their hard-hitting girlfriends, Kyoko and Misako, to serve up some payback. As you punch and kick your way across town - either solo or with a friend in local co-op - you'll gain new skills, chow down on power-ups, wield an assortment of weapons, and unleash an arsenal of combos, throws, and special attacks that will leave the bad guys crying for mama - all in outrageous 16-bit style! The awesome action is punctuated by manga story panels, anime cutscenes, and an epic synth-pop soundtrack. It’s an old-school rumble for a new generation!
Key Features:
• Wild beat-'em-up action for 1 or 2 players!
• Glorious anime and manga cutscenes!
• Rockin’ synth-pop soundtrack!
• Six large areas of the city to explore and fight in!
• Loads of weapons and abilities!
1-2 players
5GB minimum save size
DUALSHOCK®4
Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy). One-time license fee for play on account’s designated primary PS4™ system and other PS4™ systems when signed in with that account.
River City Girls, Kunio-Kun, Double Dragon, and all related characters, names locations, and assets are Copyright © 2019 by ARC System Works Co, Ltd. © 2019 WayForward Technologies."
Pure,"Xbox 360, PC, PlayStation 3","Racing, Arcade","Sep 16, 2008",Disney Interactive,0+ Everyone,83,"(Online Interactions Not Rated by the ESRB) This game supports English, French, Italian, German, and Spanish. Download the manual for this game by locating the game on http://marketplace.xbox.com and selecting “See Game Manual"". PURE is an offroad trick-racing game featuring incredible tricks and massive, vertigo-inducing jumps. Leap hundreds of feet into the air - off mountains, over lakes and across gaping chasms in epic worldwide locations. Pull off over 70 different tricks and build over 100,000 different custom quad bikes. It's all about speed, air and incredible tricks. PURE Adrenaline! There are no refunds for this item. For more information, see www.xbox.com/live/accounts."
Infested Planet,"macOS, PC","Action, Strategy, Indie","Jul 2, 2013",Rocket Bear Games,17+ Mature,75,
S.K.I.L.L. - Special Force 2 (Shooter),PC,"Action, Adventure, Strategy, Sports","May 19, 2015",Gameforge 4D, Not rated,80,
Vane,"PlayStation 4, PC","Adventure, Indie","Jan 15, 2019",Friend & Foe, Not rated,76,"In a ruined desert, a strange golden dust transforms a free-spirited bird into a determined young child, setting off a chain of events that will reshape the world itself."
DeadCore,"Xbox One, PlayStation 4, PC, Linux, macOS","Action, Shooter, Indie","Oct 17, 2014",Bandai Namco Entertainment, Not rated,78,
Yesterday,"PC, Android, iOS","Adventure, RPG","Mar 16, 2012",Focus Home Interactive,13+ Teen,79,
